"searchedTranscript","transcriptGene"
"ENST00000412951","ENSG00000230695"
"ENST00000413004","ENSG00000225750"
"ENST00000413240","ENSG00000226661"
"ENST00000413848","ENSG00000183308"
"ENST00000414888","ENSG00000225406"
"ENST00000415536","ENSG00000236453"
"ENST00000415824","ENSG00000205622"
"ENST00000416300","ENSG00000227257"
"ENST00000416638","ENSG00000238129"
"ENST00000417463","ENSG00000234503"
"ENST00000417692","ENSG00000233230"
"ENST00000418297","ENSG00000229301"
"ENST00000418402","ENSG00000238224"
"ENST00000418995","ENSG00000224513"
"ENST00000419045","ENSG00000233585"
"ENST00000419226","ENSG00000243144"
"ENST00000419384","ENSG00000230491"
"ENST00000419672","ENSG00000230570"
"ENST00000419694","ENSG00000229962"
"ENST00000419860","ENSG00000237271"
"ENST00000419937","ENSG00000227910"
"ENST00000420213","ENSG00000237167"
"ENST00000420354","ENSG00000231949"
"ENST00000420549","ENSG00000233290"
"ENST00000420754","ENSG00000239556"
"ENST00000421121","ENSG00000230333"
"ENST00000421261","ENSG00000266579"
"ENST00000421310","ENSG00000236673"
"ENST00000421657","ENSG00000228302"
"ENST00000421686","ENSG00000240240"
"ENST00000421848","ENSG00000223379"
"ENST00000421889","ENSG00000283913"
"ENST00000421913","ENSG00000236114"
"ENST00000422212","ENSG00000237268"
"ENST00000422282","ENSG00000225078"
"ENST00000422914","ENSG00000236120"
"ENST00000422972","ENSG00000226471"
"ENST00000423293","ENSG00000213857"
"ENST00000424075","ENSG00000236617"
"ENST00000424084","ENSG00000233755"
"ENST00000424215","ENSG00000228037"
"ENST00000424242","ENSG00000235629"
"ENST00000424687","ENSG00000225705"
"ENST00000424761","ENSG00000223695"
"ENST00000425235","ENSG00000233502"
"ENST00000426041","ENSG00000238231"
"ENST00000426045","ENSG00000228106"
"ENST00000426536","ENSG00000229112"
"ENST00000426771","ENSG00000223563"
"ENST00000426775","ENSG00000235782"
"ENST00000428032","ENSG00000228509"
"ENST00000428146","ENSG00000225451"
"ENST00000428201","ENSG00000236054"
"ENST00000428391","ENSG00000224691"
"ENST00000428573","ENSG00000226862"
"ENST00000428667","ENSG00000233818"
"ENST00000429588","ENSG00000230479"
"ENST00000429816","ENSG00000225258"
"ENST00000429866","ENSG00000231443"
"ENST00000430078","ENSG00000237927"
"ENST00000431202","ENSG00000235143"
"ENST00000432251","ENSG00000233397"
"ENST00000432828","ENSG00000223777"
"ENST00000433040","ENSG00000225606"
"ENST00000433219","ENSG00000235319"
"ENST00000433840","ENSG00000228120"
"ENST00000433997","ENSG00000267026"
"ENST00000434291","ENSG00000248751"
"ENST00000434300","ENSG00000285280"
"ENST00000434363","ENSG00000230084"
"ENST00000435281","ENSG00000233379"
"ENST00000435693","ENSG00000228729"
"ENST00000437438","ENSG00000215023"
"ENST00000437523","ENSG00000228826"
"ENST00000438210","ENSG00000228477"
"ENST00000438324","ENSG00000232756"
"ENST00000438639","ENSG00000223829"
"ENST00000438969","ENSG00000228031"
"ENST00000439076","ENSG00000236394"
"ENST00000440038","ENSG00000237094"
"ENST00000440224","ENSG00000243621"
"ENST00000440581","ENSG00000234115"
"ENST00000440714","ENSG00000237609"
"ENST00000440985","ENSG00000225721"
"ENST00000441416","ENSG00000236491"
"ENST00000441532","ENSG00000234206"
"ENST00000441746","ENSG00000227161"
"ENST00000441772","ENSG00000230080"
"ENST00000442417","ENSG00000225205"
"ENST00000442564","ENSG00000225726"
"ENST00000442800","ENSG00000281593"
"ENST00000443897","ENSG00000234597"
"ENST00000444478","ENSG00000234698"
"ENST00000444708","ENSG00000236687"
"ENST00000445332","ENSG00000236255"
"ENST00000445345","ENSG00000225981"
"ENST00000446309","ENSG00000224046"
"ENST00000446476","ENSG00000228692"
"ENST00000446626","ENSG00000226007"
"ENST00000447037","ENSG00000239415"
"ENST00000447099","ENSG00000224256"
"ENST00000447227","ENSG00000228553"
"ENST00000447343","ENSG00000229299"
"ENST00000447835","ENSG00000225166"
"ENST00000448028","ENSG00000226410"
"ENST00000448897","ENSG00000232110"
"ENST00000449016","ENSG00000237645"
"ENST00000450077","ENSG00000232817"
"ENST00000450480","ENSG00000231295"
"ENST00000450704","ENSG00000226007"
"ENST00000450783","ENSG00000233461"
"ENST00000451100","ENSG00000244757"
"ENST00000451350","ENSG00000225889"
"ENST00000451355","ENSG00000225092"
"ENST00000451368","ENSG00000225792"
"ENST00000451601","ENSG00000225140"
"ENST00000451614","ENSG00000228360"
"ENST00000451707","ENSG00000235158"
"ENST00000451733","ENSG00000232936"
"ENST00000451781","ENSG00000285756"
"ENST00000452364","ENSG00000223947"
"ENST00000452436","ENSG00000176134"
"ENST00000452528","ENSG00000236957"
"ENST00000453508","ENSG00000230578"
"ENST00000454534","ENSG00000227813"
"ENST00000454877","ENSG00000228005"
"ENST00000454882","ENSG00000233064"
"ENST00000454980","ENSG00000233818"
"ENST00000454994","ENSG00000274944"
"ENST00000455503","ENSG00000237976"
"ENST00000456346","ENSG00000235972"
"ENST00000456921","ENSG00000228238"
"ENST00000456944","ENSG00000224945"
"ENST00000457251","ENSG00000235485"
"ENST00000457707","ENSG00000229766"
"ENST00000457921","ENSG00000243004"
"ENST00000457976","ENSG00000237422"
"ENST00000457996","ENSG00000233029"
"ENST00000459374","ENSG00000238713"
"ENST00000462300","ENSG00000241912"
"ENST00000467896","ENSG00000240497"
"ENST00000468242","ENSG00000240207"
"ENST00000469183","ENSG00000283549"
"ENST00000474798","ENSG00000239462"
"ENST00000477314","ENSG00000287908"
"ENST00000480694","ENSG00000176349"
"ENST00000482431","ENSG00000243024"
"ENST00000483901","ENSG00000243655"
"ENST00000485389","ENSG00000243116"
"ENST00000488788","ENSG00000270299"
"ENST00000490314","ENSG00000240790"
"ENST00000493710","ENSG00000240758"
"ENST00000493771","ENSG00000167807"
"ENST00000493920","ENSG00000223886"
"ENST00000495088","ENSG00000241537"
"ENST00000495576","ENSG00000239945"
"ENST00000496674","ENSG00000240241"
"ENST00000497334","ENSG00000242602"
"ENST00000500444","ENSG00000246596"
"ENST00000500559","ENSG00000245958"
"ENST00000500705","ENSG00000245330"
"ENST00000502589","ENSG00000250348"
"ENST00000502606","ENSG00000250501"
"ENST00000502700","ENSG00000257083"
"ENST00000502813","ENSG00000250820"
"ENST00000503188","ENSG00000231291"
"ENST00000503321","ENSG00000250781"
"ENST00000503470","ENSG00000248559"
"ENST00000503482","ENSG00000249435"
"ENST00000503496","ENSG00000250007"
"ENST00000503624","ENSG00000250310"
"ENST00000503797","ENSG00000253348"
"ENST00000503998","ENSG00000250511"
"ENST00000504061","ENSG00000288258"
"ENST00000504175","ENSG00000250267"
"ENST00000504932","ENSG00000250073"
"ENST00000505109","ENSG00000214942"
"ENST00000505114","ENSG00000245281"
"ENST00000505179","ENSG00000251050"
"ENST00000505195","ENSG00000250516"
"ENST00000505781","ENSG00000250905"
"ENST00000506013","ENSG00000251508"
"ENST00000506083","ENSG00000251467"
"ENST00000506149","ENSG00000248896"
"ENST00000506454","ENSG00000246090"
"ENST00000506475","ENSG00000249216"
"ENST00000551918","ENSG00000257202"
"ENST00000552016","ENSG00000237493"
"ENST00000552634","ENSG00000257496"
"ENST00000552753","ENSG00000257527"
"ENST00000553046","ENSG00000257272"
"ENST00000553792","ENSG00000258458"
"ENST00000554407","ENSG00000255435"
"ENST00000554412","ENSG00000258489"
"ENST00000554967","ENSG00000258437"
"ENST00000555297","ENSG00000258888"
"ENST00000555771","ENSG00000259146"
"ENST00000555966","ENSG00000258843"
"ENST00000556080","ENSG00000258620"
"ENST00000556228","ENSG00000258747"
"ENST00000556271","ENSG00000258569"
"ENST00000556332","ENSG00000258851"
"ENST00000556642","ENSG00000259168"
"ENST00000556770","ENSG00000259094"
"ENST00000557048","ENSG00000259066"
"ENST00000557194","ENSG00000258960"
"ENST00000557474","ENSG00000258435"
"ENST00000557475","ENSG00000258943"
"ENST00000559134","ENSG00000259488"
"ENST00000559299","ENSG00000259692"
"ENST00000559544","ENSG00000259598"
"ENST00000559594","ENSG00000259502"
"ENST00000559614","ENSG00000259242"
"ENST00000559739","ENSG00000259349"
"ENST00000559954","ENSG00000259708"
"ENST00000559968","ENSG00000259648"
"ENST00000560259","ENSG00000259423"
"ENST00000560324","ENSG00000259418"
"ENST00000560405","ENSG00000229212"
"ENST00000560647","ENSG00000259354"
"ENST00000560688","ENSG00000259757"
"ENST00000560709","ENSG00000259278"
"ENST00000561382","ENSG00000251393"
"ENST00000562076","ENSG00000261341"
"ENST00000562127","ENSG00000260763"
"ENST00000562158","ENSG00000261364"
"ENST00000562315","ENSG00000260213"
"ENST00000562341","ENSG00000259854"
"ENST00000562497","ENSG00000261527"
"ENST00000562833","ENSG00000260836"
"ENST00000563057","ENSG00000260657"
"ENST00000563190","ENSG00000261273"
"ENST00000563242","ENSG00000260410"
"ENST00000563347","ENSG00000261673"
"ENST00000563435","ENSG00000261044"
"ENST00000563634","ENSG00000260371"
"ENST00000563916","ENSG00000260798"
"ENST00000564203","ENSG00000261782"
"ENST00000564212","ENSG00000260086"
"ENST00000564240","ENSG00000261204"
"ENST00000564330","ENSG00000260882"
"ENST00000564358","ENSG00000260701"
"ENST00000564407","ENSG00000259915"
"ENST00000564816","ENSG00000260939"
"ENST00000565116","ENSG00000260537"
"ENST00000565137","ENSG00000260740"
"ENST00000565271","ENSG00000261335"
"ENST00000566191","ENSG00000261218"
"ENST00000566527","ENSG00000261757"
"ENST00000566532","ENSG00000260647"
"ENST00000566764","ENSG00000260635"
"ENST00000566976","ENSG00000260046"
"ENST00000567305","ENSG00000261379"
"ENST00000567428","ENSG00000272904"
"ENST00000567549","ENSG00000261186"
"ENST00000568567","ENSG00000261127"
"ENST00000568648","ENSG00000261291"
"ENST00000568708","ENSG00000261124"
"ENST00000568729","ENSG00000261842"
"ENST00000568831","ENSG00000261329"
"ENST00000568976","ENSG00000259869"
"ENST00000569032","ENSG00000261063"
"ENST00000569345","ENSG00000260934"
"ENST00000569459","ENSG00000261346"
"ENST00000569728","ENSG00000260494"
"ENST00000569831","ENSG00000260425"
"ENST00000570056","ENSG00000260788"
"ENST00000572301","ENSG00000262223"
"ENST00000572877","ENSG00000263120"
"ENST00000574387","ENSG00000262370"
"ENST00000575331","ENSG00000272884"
"ENST00000576138","ENSG00000261996"
"ENST00000576784","ENSG00000262831"
"ENST00000576808","ENSG00000262979"
"ENST00000577176","ENSG00000262823"
"ENST00000577672","ENSG00000227775"
"ENST00000577677","ENSG00000265815"
"ENST00000578504","ENSG00000264012"
"ENST00000580252","ENSG00000264040"
"ENST00000580385","ENSG00000265393"
"ENST00000581333","ENSG00000264078"
"ENST00000581815","ENSG00000265136"
"ENST00000582263","ENSG00000264968"
"ENST00000582591","ENSG00000266397"
"ENST00000582835","ENSG00000259848"
"ENST00000583250","ENSG00000265289"
"ENST00000583427","ENSG00000263612"
"ENST00000583547","ENSG00000264985"
"ENST00000583963","ENSG00000265749"
"ENST00000584758","ENSG00000279668"
"ENST00000585028","ENSG00000266268"
"ENST00000585184","ENSG00000266495"
"ENST00000585336","ENSG00000267662"
"ENST00000586169","ENSG00000266903"
"ENST00000586220","ENSG00000267575"
"ENST00000586351","ENSG00000267658"
"ENST00000586657","ENSG00000267383"
"ENST00000586671","ENSG00000267509"
"ENST00000586805","ENSG00000227155"
"ENST00000587556","ENSG00000267426"
"ENST00000588612","ENSG00000232295"
"ENST00000588803","ENSG00000267327"
"ENST00000589128","ENSG00000236986"
"ENST00000589227","ENSG00000267646"
"ENST00000589233","ENSG00000231616"
"ENST00000589379","ENSG00000267607"
"ENST00000589662","ENSG00000267284"
"ENST00000589783","ENSG00000267490"
"ENST00000590055","ENSG00000267079"
"ENST00000590141","ENSG00000267459"
"ENST00000590369","ENSG00000186019"
"ENST00000590522","ENSG00000267121"
"ENST00000591540","ENSG00000267604"
"ENST00000592220","ENSG00000267024"
"ENST00000592263","ENSG00000267723"
"ENST00000592843","ENSG00000267778"
"ENST00000593041","ENSG00000267130"
"ENST00000593113","ENSG00000267456"
"ENST00000593653","ENSG00000268119"
"ENST00000593824","ENSG00000268184"
"ENST00000593857","ENSG00000268015"
"ENST00000594305","ENSG00000267898"
"ENST00000595005","ENSG00000268518"
"ENST00000595428","ENSG00000268836"
"ENST00000595680","ENSG00000268601"
"ENST00000595919","ENSG00000269981"
"ENST00000596029","ENSG00000269600"
"ENST00000596044","ENSG00000282246"
"ENST00000596829","ENSG00000268896"
"ENST00000597006","ENSG00000269373"
"ENST00000597049","ENSG00000269392"
"ENST00000597384","ENSG00000267952"
"ENST00000598893","ENSG00000268289"
"ENST00000598914","ENSG00000269289"
"ENST00000599222","ENSG00000268886"
"ENST00000599274","ENSG00000269246"
"ENST00000599467","ENSG00000244513"
"ENST00000600242","ENSG00000269583"
"ENST00000600694","ENSG00000285583"
"ENST00000600787","ENSG00000225963"
"ENST00000600987","ENSG00000268743"
"ENST00000601148","ENSG00000267905"
"ENST00000601199","ENSG00000268674"
"ENST00000601280","ENSG00000268390"
"ENST00000601905","ENSG00000268597"
"ENST00000601911","ENSG00000268262"
"ENST00000602221","ENSG00000288253"
"ENST00000602316","ENSG00000270059"
"ENST00000602328","ENSG00000270137"
"ENST00000602369","ENSG00000279956"
"ENST00000602571","ENSG00000270131"
"ENST00000602595","ENSG00000270016"
"ENST00000602790","ENSG00000270000"
"ENST00000602946","ENSG00000269968"
"ENST00000603123","ENSG00000270773"
"ENST00000603439","ENSG00000271579"
"ENST00000603668","ENSG00000271414"
"ENST00000603942","ENSG00000270248"
"ENST00000604082","ENSG00000271265"
"ENST00000604339","ENSG00000271711"
"ENST00000604464","ENSG00000270462"
"ENST00000604491","ENSG00000270562"
"ENST00000604544","ENSG00000270857"
"ENST00000604597","ENSG00000271511"
"ENST00000605088","ENSG00000270839"
"ENST00000605168","ENSG00000270832"
"ENST00000605407","ENSG00000270883"
"ENST00000605443","ENSG00000270981"
"ENST00000605859","ENSG00000271454"
"ENST00000606010","ENSG00000272249"
"ENST00000606034","ENSG00000272512"
"ENST00000606048","ENSG00000272343"
"ENST00000606259","ENSG00000271858"
"ENST00000606406","ENSG00000226853"
"ENST00000606610","ENSG00000271749"
"ENST00000606790","ENSG00000272482"
"ENST00000606839","ENSG00000271778"
"ENST00000606921","ENSG00000272402"
"ENST00000607203","ENSG00000272305"
"ENST00000607315","ENSG00000271869"
"ENST00000607385","ENSG00000272366"
"ENST00000607456","ENSG00000239482"
"ENST00000607580","ENSG00000272545"
"ENST00000607583","ENSG00000271858"
"ENST00000607934","ENSG00000273300"
"ENST00000607984","ENSG00000230606"
"ENST00000607991","ENSG00000273076"
"ENST00000608147","ENSG00000273026"
"ENST00000608279","ENSG00000272769"
"ENST00000608677","ENSG00000273350"
"ENST00000608730","ENSG00000273138"
"ENST00000608774","ENSG00000272646"
"ENST00000608890","ENSG00000273348"
"ENST00000608925","ENSG00000272754"
"ENST00000608941","ENSG00000272729"
"ENST00000609268","ENSG00000273272"
"ENST00000609279","ENSG00000272834"
"ENST00000609396","ENSG00000235979"
"ENST00000609423","ENSG00000272562"
"ENST00000609491","ENSG00000272966"
"ENST00000609612","ENSG00000273424"
"ENST00000609678","ENSG00000272824"
"ENST00000610119","ENSG00000272755"
