"searchedTranscript","transcriptGene"
"ENST00000573791","RSL1D1"
"ENST00000573966","TEKT1"
"ENST00000574048","ABR"
"ENST00000574135","ZFAND2A"
"ENST00000574137","NUBP1"
"ENST00000574153","SIRT7"
"ENST00000574680","PKMYT1"
"ENST00000574898","ANKRD26P1"
"ENST00000574995","ZC3H7A"
"ENST00000575090","MCRIP1"
"ENST00000575193","ANKRD36BP2"
"ENST00000575247","CFAP52"
"ENST00000575258","TMPOP2"
"ENST00000575268","TNK1"
"ENST00000575363","AATK"
"ENST00000575397","RFWD3"
"ENST00000575398","FGF11"
"ENST00000575422","ABCC1"
"ENST00000575478","B9D1"
"ENST00000575606","DLGAP1-AS1"
"ENST00000575630","ZNF200"
"ENST00000575750","BAIAP2"
"ENST00000575784","SPAG7"
"ENST00000575909","TOM1L1"
"ENST00000575957","EIF4A3"
"ENST00000576027","RMI2"
"ENST00000576309","CLUH"
"ENST00000576329","PLD2"
"ENST00000576470","BAIAP2"
"ENST00000576510","NFKBIB"
"ENST00000576617","CLEC10A"
"ENST00000576683","ABCC6"
"ENST00000576947","WSCD1"
"ENST00000577249","CDC6"
"ENST00000577294","MYOM1"
"ENST00000577296","MYO15B"
"ENST00000577334","ENOSF1"
"ENST00000577404","MIR3186"
"ENST00000577422","CUEDC1"
"ENST00000577431","NFE2L1"
"ENST00000577509","FDXR"
"ENST00000577640","UBB"
"ENST00000577701","HSD11B1L"
"ENST00000577829","MIR3154"
"ENST00000577913","BRIP1"
"ENST00000578006","RHBDL3"
"ENST00000578016","CYB561"
"ENST00000578017","MYH2"
"ENST00000578043","RN7SL154P"
"ENST00000578055","OSBPL1A"
"ENST00000578092","LINC00908"
"ENST00000578134","CDK5RAP3"
"ENST00000578352","ISYNA1"
"ENST00000578412","TOP2A"
"ENST00000578430","SRSF1"
"ENST00000578544","ANAPC11"
"ENST00000578549","AURKB"
"ENST00000578697","TLK2"
"ENST00000578707","MIR5091"
"ENST00000578743","PIK3R5"
"ENST00000578900","PHF12"
"ENST00000578955","GREB1L"
"ENST00000579060","NEK8"
"ENST00000579098","PER1"
"ENST00000579267","RN7SL525P"
"ENST00000579324","NUP85"
"ENST00000579339","LINC00271"
"ENST00000579371","SEPTIN4"
"ENST00000579376","DRC3"
"ENST00000579492","LINC01925"
"ENST00000579517","FBXO15"
"ENST00000579537","NFE2L1"
"ENST00000579541","TANC2"
"ENST00000579662","ITGB4"
"ENST00000579711","GH1"
"ENST00000579726","ACE"
"ENST00000580002","SHMT1"
"ENST00000580038","THOC1"
"ENST00000580273","SLC25A19"
"ENST00000580288","STRADA"
"ENST00000580296","NARF"
"ENST00000580302","MED24"
"ENST00000580377","SPAG5"
"ENST00000580441","TMEM94"
"ENST00000580444","RNF135"
"ENST00000580554","NCOR1"
"ENST00000580605","ENOSF1"
"ENST00000580724","MYO15B"
"ENST00000580727","MIR3145"
"ENST00000580770","SNHG29"
"ENST00000580772","PPP1R1B"
"ENST00000580835","RN7SL230P"
"ENST00000580837","AMZ2"
"ENST00000580915","MIR4435-2"
"ENST00000580920","MIR4258"
"ENST00000580983","MTMR4"
"ENST00000581006","PIGL"
"ENST00000581178","MIR3164"
"ENST00000581229","FAM222B"
"ENST00000581348","GIT1"
"ENST00000581394","TTC39C"
"ENST00000581608","ASPSCR1"
"ENST00000581625","CCDC57"
"ENST00000581660","CSNK1D"
"ENST00000581761","MKS1"
"ENST00000581864","SECTM1"
"ENST00000581941","MAP2K4"
"ENST00000581949","TMEM220"
"ENST00000582015","EPN2"
"ENST00000582022","SAP30BP"
"ENST00000582040","CCDC57"
"ENST00000582113","TMEM97"
"ENST00000582253","RN7SL733P"
"ENST00000582276","PGAP3"
"ENST00000582377","MAP2K4"
"ENST00000582395","CYBC1"
"ENST00000582416","DRC3"
"ENST00000582452","LINC00908"
"ENST00000582552","MIR4435-1"
"ENST00000582558","DCXR-DT"
"ENST00000582563","SECTM1"
"ENST00000582614","MIR3939"
"ENST00000582697","LINC01894"
"ENST00000582733","GARS1-DT"
"ENST00000582806","RN7SL460P"
"ENST00000582995","PRR11"
"ENST00000583069","RN7SL470P"
"ENST00000583093","SECTM1"
"ENST00000583263","KLHL14"
"ENST00000583269","KPNA2"
"ENST00000583312","ACADVL"
"ENST00000583340","SUPT6H"
"ENST00000583473","RGS9"
"ENST00000583535","MYH3"
"ENST00000583539","RAD51C"
"ENST00000583540","GRAPL"
"ENST00000583558","LINC01915"
"ENST00000583650","RN7SL498P"
"ENST00000583786","WSB1"
"ENST00000583809","L3MBTL4"
"ENST00000583915","AURKB"
"ENST00000583965","CDRT1"
"ENST00000583989","NAT9"
"ENST00000584080","PIGS"
"ENST00000584118","SLC16A5"
"ENST00000584554","PITPNC1"
"ENST00000584583","RPL23"
"ENST00000584657","PSMC5"
"ENST00000585038","MICAL3"
"ENST00000585047","THRA"
"ENST00000585095","PER1"
"ENST00000585168","CEP112"
"ENST00000585180","MYO15A"
"ENST00000585321","TNNT1"
"ENST00000585437","ATG4D"
"ENST00000585464","TAF9P3"
"ENST00000585466","CLIP3"
"ENST00000585567","SPC24"
"ENST00000585741","HMG20B"
"ENST00000585812","BCAS3"
"ENST00000585852","FMNL1"
"ENST00000585898","ECSIT"
"ENST00000585901","TYROBP"
"ENST00000585903","MBD3"
"ENST00000585923","PIGN"
"ENST00000585979","BCAS3"
"ENST00000586002","PCSK4"
"ENST00000586114","PSME3"
"ENST00000586124","WDR7"
"ENST00000586128","SEPTIN9"
"ENST00000586204","MPPE1"
"ENST00000586279","ACBD4"
"ENST00000586396","SF3A2"
"ENST00000586440","SMIM22"
"ENST00000586683","ELOF1"
"ENST00000586771","COASY"
"ENST00000586786","DMAC2"
"ENST00000586877","DNAAF3"
"ENST00000586957","AP1M1"
"ENST00000586958","SPRED3"
"ENST00000586962","LOC101927572"
"ENST00000587026","RDH13"
"ENST00000587047","ZNF180"
"ENST00000587063","PRCD"
"ENST00000587090","SPINT2"
"ENST00000587143","ZNF793"
"ENST00000587208","ZNF542P"
"ENST00000587351","FAM32A"
"ENST00000587465","TNNT1"
"ENST00000587468","THOP1"
"ENST00000587514","SEPTIN9"
"ENST00000587581","UBE2O"
"ENST00000587597","RTN2"
"ENST00000587650","ZNF846"
"ENST00000587657","CELF4"
"ENST00000587694","RAMP2-AS1"
"ENST00000587761","SEH1L"
"ENST00000587763","ANKRD29"
"ENST00000587798","AANAT"
"ENST00000587832","GCDH"
"ENST00000587948","TMEM205"
"ENST00000587976","ACBD4"
"ENST00000587988","SMARCA4"
