"searchedTranscript","transcriptGene"
"ENST00000336687","TMEM97"
"ENST00000337004","PTDSS1"
"ENST00000337706","FGF1"
"ENST00000338783","GNAS"
"ENST00000338947","TRPC4"
"ENST00000339089","PHF20"
"ENST00000339737","NUDT1"
"ENST00000339777","LRRC43"
"ENST00000340027","NCR3"
"ENST00000340147","C5orf47"
"ENST00000340246","LGALS12"
"ENST00000340313","KCNK7"
"ENST00000341685","MYL1"
"ENST00000341900","DLX1"
"ENST00000342291","KCNJ14"
"ENST00000342652","INPP5A"
"ENST00000342945","BCAT1"
"ENST00000343003","SPATA13"
"ENST00000343344","MYOCD"
"ENST00000343524","ATG4A"
"ENST00000343571","EFHC2"
"ENST00000343849","CAV3"
"ENST00000343854","RGS6"
"ENST00000344201","CBFA2T2"
"ENST00000344233","ERFE"
"ENST00000344277","RGS20"
"ENST00000344363","KRTAP1-3"
"ENST00000344514","OR5W2"
"ENST00000344851","SRP72P2"
"ENST00000345514","BCL11B"
"ENST00000345598","APLP2"
"ENST00000345988","PPL"
"ENST00000347025","PHF7"
"ENST00000347609","LSR"
"ENST00000347785","CD5"
"ENST00000348295","CHEK2"
"ENST00000348438","CRHR2"
"ENST00000348987","SCARF1"
"ENST00000349552","BPIFB6"
"ENST00000349553","CALB2"
"ENST00000349817","CD79B"
"ENST00000350243","DUOXA2"
"ENST00000351153","PARD3B"
"ENST00000351691","TRAF3"
"ENST00000351748","TNFRSF25"
"ENST00000352187","SLC43A3"
"ENST00000352832","CACNA1G"
"ENST00000352848","BIN1"
"ENST00000352940","DDX47"
"ENST00000353275","NSD2"
"ENST00000353656","GYG2"
"ENST00000354353","KCNMA1"
"ENST00000354370","HNF4G"
"ENST00000354560","TEDC1"
"ENST00000354655","ACSL5"
"ENST00000354914","SCARA5"
"ENST00000355349","MYH7"
"ENST00000355446","ERC1"
"ENST00000355648","PHACTR3"
"ENST00000355661","PLEKHA7"
"ENST00000355704","TBC1D22A"
"ENST00000355854","CAB39L"
"ENST00000356226","FGFR2"
"ENST00000356751","MAMSTR"
"ENST00000357123","MCRS1"
"ENST00000357207","TRAPPC11"
"ENST00000357275","DBNDD2"
"ENST00000357395","SYNE2"
"ENST00000357568","CAPN3"
"ENST00000357806","CLN3"
"ENST00000358010","TACC2"
"ENST00000358129","FHL2"
"ENST00000358556","EDNRA"
"ENST00000358590","CACNA1H"
"ENST00000358907","R3HDM2"
"ENST00000359682","OR2M2"
"ENST00000360089","KIRREL1"
"ENST00000360314","CASS4"
"ENST00000360325","CLDN7"
"ENST00000360719","CPT1B"
"ENST00000360759","OR10A3"
"ENST00000361033","TMEM239"
"ENST00000361128","MARK2"
"ENST00000361249","C8A"
"ENST00000361284","OR10Z1"
"ENST00000361306","EGFL6"
"ENST00000361317","TCEA2"
"ENST00000361421","TOX"
"ENST00000361676","NF2"
"ENST00000361725","DLX1"
"ENST00000362002","ASB12"
"ENST00000362153","MIR339"
"ENST00000362159","MIR655"
"ENST00000362390","RNU6-874P"
"ENST00000362400","RNA5S12"
"ENST00000362464","RNA5S11"
"ENST00000362467","RNA5S3"
"ENST00000362482","RNA5S1"
"ENST00000362526","RNA5S5"
"ENST00000362861","RNU6-1079P"
"ENST00000362916","RNA5SP188"
"ENST00000363040","RNA5S10"
"ENST00000363091","SNORD1B"
"ENST00000363143","RNU6-623P"
"ENST00000363431","RNA5SP483"
"ENST00000363473","RNA5S8"
"ENST00000363500","RNA5S17"
"ENST00000363511","RNA5S4"
"ENST00000363655","RNU6-1209P"
"ENST00000363754","RNA5S6"
"ENST00000364394","SNORD73B"
"ENST00000364485","RNA5S14"
"ENST00000364718","RNA5S2"
"ENST00000364880","SNORD3B-2"
"ENST00000364923","RN7SKP9"
"ENST00000365055","RNA5S15"
"ENST00000365387","RNA5S16"
"ENST00000365651","RNA5S7"
"ENST00000365656","RNA5S13"
"ENST00000366090","ECT2"
"ENST00000366473","OR2T4"
"ENST00000366504","ZNF695"
"ENST00000366508","AHCTF1"
"ENST00000366620","KCNK1"
"ENST00000366676","TAF5L"
"ENST00000366684","ACTA1"
"ENST00000366740","MRPL55"
"ENST00000366983","ATF3"
"ENST00000367015","SYT14"
"ENST00000367312","TNNI1"
"ENST00000367313","LAD1"
"ENST00000367322","TNNT2"
"ENST00000367412","F13B"
"ENST00000367427","CFHR3"
"ENST00000367525","UTRN"
"ENST00000367727","C1orf105"
"ENST00000367748","IL20RA"
"ENST00000367765","KIFAP3"
"ENST00000367847","ALDH8A1"
"ENST00000367893","LMX1A"
"ENST00000367911","CCDC190"
"ENST00000368007","NIT1"
"ENST00000368129","AIM2"
"ENST00000368416","NKAIN2"
"ENST00000368419","DCST1"
"ENST00000368444","FABP7"
"ENST00000368670","INTS3"
"ENST00000368678","FYN"
"ENST00000368710","S100A2"
"ENST00000368895","C10orf88B"
"ENST00000369059","FGFR2"
"ENST00000369315","CASP7"
"ENST00000369699","SORCS3"
"ENST00000369768","NPBWR2"
"ENST00000369801","CSF1"
"ENST00000369809","DNASE1L1"
"ENST00000369829","GSTM2"
"ENST00000369868","CYB561D1"
"ENST00000369884","WBP1L"
"ENST00000369904","PSRC1"
"ENST00000369951","OPN1LW"
"ENST00000370115","VCAM1"
"ENST00000370276","CCDC18"
"ENST00000370373","C1orf146"
"ENST00000370456","GBP6"
"ENST00000370540","CXorf66"
"ENST00000370634","VGLL1"
"ENST00000370899","FPGT-TNNI3K"
"ENST00000371125","PRR32"
"ENST00000371185","NFIA"
"ENST00000371273","LEXM"
"ENST00000371284","TTC4"
"ENST00000371356","AURKA"
"ENST00000371532","ZYG11A"
"ENST00000371728","KIF20B"
"ENST00000372314","AIF1L"
"ENST00000372696","ZNF684"
"ENST00000372720","DBNDD2"
"ENST00000372948","CIZ1"
"ENST00000372953","ARL13A"
"ENST00000372996","BYSL"
"ENST00000373366","GJB3"
"ENST00000373469","CTNNBL1"
"ENST00000373474","LMX1B"
"ENST00000373480","KIAA1522"
"ENST00000373552","NGEF"
"ENST00000373567","SRC"
"ENST00000373603","NEK6"
"ENST00000373680","OR5C1"
"ENST00000374072","ROMO1"
"ENST00000374329","MAN1C1"
"ENST00000374336","BMS1P1"
"ENST00000374432","LINC00619"
"ENST00000374520","RPL12P1"
"ENST00000374667","ACTL7B"
"ENST00000374676","HSPG2"
"ENST00000374686","ZNF462"
"ENST00000374704","CCNY"
"ENST00000374801","LINC00587"
"ENST00000374804","LAS1L"
"ENST00000375028","CCDC7"
"ENST00000375350","NSD1"
"ENST00000375371","TAS1R2"
"ENST00000375503","XAGE5"
"ENST00000375723","ARHGEF7"
"ENST00000375746","SYK"
"ENST00000375790","MKX"
"ENST00000375850","S1PR3"
"ENST00000376094","TUBD1"
"ENST00000376751","RNF39"
"ENST00000376979","CST9L"
"ENST00000377084","SLITRK1"
"ENST00000377169","OR2J3"
"ENST00000377186","LINC01556"
"ENST00000377293","CFAP61"
"ENST00000377389","CBWD5"
"ENST00000377395","CBWD5"
"ENST00000377489","RASGRP2"
"ENST00000377601","ANKRD20A2P"
"ENST00000377741","GPR20"
"ENST00000377814","BORA"
"ENST00000377889","SLC3A2"
"ENST00000377982","ACTR2"
"ENST00000378284","EBPL"
"ENST00000378539","PLXNA4"
"ENST00000378637","PLCB1"
"ENST00000379108","KCTD4"
"ENST00000379127","C9orf24"
"ENST00000379134","USF2"
"ENST00000379302","VWA8"
"ENST00000379494","SMPX"
"ENST00000379503","AQP7"
"ENST00000379697","SH3KBP1"
"ENST00000379829","OR10A4"
"ENST00000380035","SKOR1"
"ENST00000380079","STEAP4"
"ENST00000380206","IFNA2"
"ENST00000380373","OR51A4"
"ENST00000380385","SCARA5"
"ENST00000380485","ASB9"
"ENST00000380565","MYZAP"
"ENST00000380880","FREM1"
"ENST00000381018","TRIM23"
"ENST00000381022","MPDZ"
"ENST00000381130","ARSH"
"ENST00000381535","SYNGR1"
"ENST00000381575","SHOX"
"ENST00000381578","SHOX"
"ENST00000381775","LSP1"
"ENST00000381916","TNK2"
"ENST00000382186","SMARCA2"
"ENST00000382240","PKMYT1"
"ENST00000382383","C1QTNF7"
"ENST00000382711","JPT2"
"ENST00000383075","ZIC4"
"ENST00000383814","IL17RE"
"ENST00000383858","RNVU1-7"
"ENST00000383888","RNU6-338P"
"ENST00000384016","RNU6-484P"
"ENST00000384737","SNORA19"
"ENST00000384903","MIR499A"
"ENST00000385024","MIR93"
"ENST00000385292","MIR485"
"ENST00000386157","SNORA49"
"ENST00000388955","NSUN5P2"
"ENST00000388956","OTOA"
"ENST00000389693","PRR5L"
"ENST00000390265","IGKV1D-33"
"ENST00000390282","IGLV4-69"
"ENST00000390283","IGLV8-61"
"ENST00000390303","IGLV3-32"
"ENST00000390307","IGLV3-22"
"ENST00000390389","TRBV23OR9-2"
"ENST00000390396","TRBV23-1"
"ENST00000390434","TRAV8-2"
"ENST00000390610","IGHV1-24"
"ENST00000390615","IGHV3-33"
"ENST00000390616","IGHV4-34"
"ENST00000390661","KRTAP4-4"
"ENST00000391356","KRTAP4-3"
"ENST00000391627","KIAA0930"
"ENST00000392436","OPA1"
"ENST00000392441","CCDC62"
"ENST00000392539","HOXD13"
"ENST00000392584","HAT1"
"ENST00000392676","ABCA5"
"ENST00000392795","CD79B"
"ENST00000392822","MLF1"
"ENST00000392929","CCNT2-AS1"
"ENST00000393087","SERPINA1"
"ENST00000393140","PRIMA1"
"ENST00000393147","DPP10"
"ENST00000393233","RTBDN"
"ENST00000393271","EME1"
"ENST00000393527","ODF2"
"ENST00000393529","MPP1"
"ENST00000393531","MPP1"
"ENST00000393605","ARAP1"
"ENST00000393618","NAMPT"
"ENST00000393706","FPGS"
"ENST00000393805","ST3GAL5"
"ENST00000393832","GUCY1A1"
"ENST00000393923","PHLDB2"
"ENST00000394052","KRT222"
"ENST00000394148","CSF3"
"ENST00000394154","VTI1BP2"
"ENST00000394207","ZFYVE1"
"ENST00000394300","FES"
"ENST00000394315","MRRF"
"ENST00000394346","MCRIP2P1"
"ENST00000394444","EIF4A1P8"
"ENST00000394615","PLAAT5"
"ENST00000394686","SGMS2"
"ENST00000394707","DUSP13"
"ENST00000394775","CCDC121"
"ENST00000394849","UPK3B"
"ENST00000395051","BAAT"
"ENST00000395079","OR10W1"
"ENST00000395253","FAM220CP"
"ENST00000395466","SNCAIP"
"ENST00000395497","AGPAT1"
"ENST00000395620","EPN2"
"ENST00000395705","CTBP2"
"ENST00000396166","PTPN5"
"ENST00000396268","CCHCR1"
"ENST00000396335","GNB5"
"ENST00000396392","PGM5"
"ENST00000396404","CYP19A1"
"ENST00000396559","ATF7IP2"
"ENST00000396621","ADHFE1"
"ENST00000396629","SCFD1"
"ENST00000396758","DPH2"
"ENST00000396887","IL32"
"ENST00000396986","PGAP2"
"ENST00000396999","PPARG"
"ENST00000397367","CAPSL"
"ENST00000397472","GATD1"
"ENST00000397534","TPSD1"
"ENST00000397570","IRF7"
"ENST00000397743","FTCD"
"ENST00000397789","NF2"
"ENST00000397827","CHRFAM7A"
"ENST00000397955","ZMYND11"
"ENST00000398122","PDPR"
"ENST00000398189","APOF"
"ENST00000398215","CRYBB2"
"ENST00000398391","STXBP4"
"ENST00000398786","C10orf105"
"ENST00000398874","MAGOHB"
"ENST00000398886","TTC29"
"ENST00000398911","ERG"
"ENST00000398951","DTNB"
"ENST00000398975","COL13A1"
"ENST00000399137","CLDN14"
"ENST00000399182","DRC3"
"ENST00000399577","MGRN1"
"ENST00000399701","HSPA12B"
"ENST00000399934","MAP3K7CL"
"ENST00000400003","MAGEB17"
"ENST00000400359","SGSM1"
"ENST00000400542","MTUS2"
"ENST00000400752","ZG16"
"ENST00000400907","RERE"
"ENST00000401064","RPL23AP17"
"ENST00000402444","OR4F7P"
"ENST00000402568","TANK"
"ENST00000402589","DMKN"
"ENST00000402655","WWOX"
"ENST00000402854","ASS1P1"
"ENST00000402921","FMO1"
"ENST00000403131","PROM2"
"ENST00000403273","LHCGR"
"ENST00000403362","TBC1D10A"
"ENST00000403427","CRELD2"
"ENST00000404045","LRRC75B"
"ENST00000404334","CRYBB3"
"ENST00000404484","TPM1"
"ENST00000404529","SPIN2P1"
"ENST00000404548","HDAC11"
"ENST00000405027","GLRX3P2"
"ENST00000405166","GSTM2P1"
"ENST00000405266","SUN1"
"ENST00000405314","CEACAM16"
"ENST00000405547","SNED1"
"ENST00000405592","MTA3"
"ENST00000405771","KRT8P42"
"ENST00000406563","TFEB"
"ENST00000406855","DERL3"
"ENST00000407253","CENPM"
"ENST00000407564","ABLIM2"
"ENST00000408017","RPL23AP47"
"ENST00000408111","RNU6ATAC7P"
"ENST00000408342","MIR1302-8"
"ENST00000408472","RN7SKP175"
"ENST00000408955","OR2F2"
"ENST00000409063","DNAH7"
"ENST00000409090","MYO7B"
"ENST00000409160","HES6"
"ENST00000409166","CCN6"
"ENST00000409187","CCDC148"
"ENST00000409203","SGO2"
"ENST00000409238","LYG2"
"ENST00000409279","PLEKHB2"
"ENST00000409292","LSM5"
"ENST00000409306","F10"
"ENST00000409337","FAM183A"
"ENST00000409350","CHN2"
"ENST00000409377","PPP3R1"
"ENST00000409529","CCDC138"
"ENST00000409545","C2orf88"
"ENST00000409622","MEIS1"
"ENST00000409637","GULP1"
"ENST00000409647","LONRF2"
"ENST00000409707","STAMBP"
"ENST00000409789","CNPPD1"
"ENST00000409818","MPP4"
"ENST00000409889","CCDC148"
"ENST00000409968","THSD7B"
"ENST00000409980","TAX1BP1"
"ENST00000410010","EVA1A"
"ENST00000410050","MEF2B"
"ENST00000410066","ZNF385B"
"ENST00000410086","PLGLB2"
"ENST00000410334","RNU6-757P"
"ENST00000410438","SNORA36B"
"ENST00000410472","RN7SKP281"
"ENST00000410708","RNU2-51P"
"ENST00000410878","RNU2-68P"
"ENST00000410991","RNU2-41P"
"ENST00000411041","RNU2-25P"
"ENST00000411206","RNA5SP450"
"ENST00000411352","RNU6-195P"
"ENST00000411642","TTC39A"
"ENST00000411655","ACTBP14"
"ENST00000411884","CLHC1"
"ENST00000411990","PFKFB2"
"ENST00000412074","CHRNB4"
"ENST00000412167","KIT"
"ENST00000412242","KDM5C-IT1"
"ENST00000412274","DDR1"
"ENST00000412438","MCFD2"
"ENST00000412504","IL1RAP"
"ENST00000412507","TRIM56"
"ENST00000412590","SSX6P"
"ENST00000412740","LINC00665"
"ENST00000412796","OR8G2P"
"ENST00000412855","LINC01703"
"ENST00000413111","DCTN1"
"ENST00000413303","LTBP1"
"ENST00000413325","PPP1R9A"
"ENST00000413386","PHF8"
"ENST00000413626","MEN1"
"ENST00000413636","CIRBP"
"ENST00000413831","REV3L"
"ENST00000414379","LILRB3"
"ENST00000414399","ZNF668"
"ENST00000414443","UBE2F"
"ENST00000414582","MIR548XHG"
"ENST00000414626","LRRCC1"
"ENST00000414636","PMM1"
"ENST00000414694","TF"
"ENST00000414755","PIGL"
"ENST00000414857","CARF"
"ENST00000414866","DMKN"
"ENST00000415023","ITSN1"
"ENST00000415046","PTPRK"
"ENST00000415139","MAP3K8"
"ENST00000415142","LIPT1"
"ENST00000415268","SHISA5"
"ENST00000415301","ATP11A"
"ENST00000415385","MAP2K4"
"ENST00000415408","ELFN2"
"ENST00000415653","IFT27"
"ENST00000415696","KARS1P2"
"ENST00000415719","RPL15"
"ENST00000415749","EPHA4"
"ENST00000415803","KIAA0895"
"ENST00000415833","NPIPB5"
"ENST00000415849","NT5DC3"
"ENST00000416071","ABHD1"
"ENST00000416145","LINC00310"
"ENST00000416299","BAIAP2"
"ENST00000416333","OGG1"
"ENST00000416495","SESN3"
"ENST00000416591","CAPN10"
"ENST00000416713","PLB1"
"ENST00000416729","PGAM1P11"
"ENST00000416757","SCLY"
"ENST00000416793","AOC1"
"ENST00000416987","MTATP6P27"
"ENST00000416991","PDK1"
"ENST00000417007","IFNAR2"
"ENST00000417056","NIBAN1"
"ENST00000417207","GTPBP10"
"ENST00000417303","PLA2G6"
"ENST00000417361","FANCL"
"ENST00000417363","MTIF2"
"ENST00000417364","SGO1"
"ENST00000417382","HMG20B"
"ENST00000417405","RUBCNL"
"ENST00000417450","GTDC1"
"ENST00000417472","HHATL"
"ENST00000417656","SKA1"
"ENST00000418122","IZUMO3"
"ENST00000418131","STIL"
"ENST00000418137","ARHGEF16"
"ENST00000418178","MDGA1"
"ENST00000418197","UGGT1"
"ENST00000418295","LINC00701"
"ENST00000418306","DLG2"
"ENST00000418457","VPS41"
"ENST00000418508","PPIAP65"
"ENST00000418564","PCBP1-AS1"
"ENST00000418598","ITCH-IT1"
"ENST00000418723","HYAL1"
"ENST00000418779","ARMH1"
"ENST00000418914","PSRC1"
"ENST00000418975","LSP1"
"ENST00000419021","SEC61A2"
"ENST00000419067","IMPDH1"
"ENST00000419262","CATSPER2"
"ENST00000419437","THUMPD3"
"ENST00000419654","SEC24D"
"ENST00000419679","SAPCD1-AS1"
"ENST00000419722","BCR"
"ENST00000419753","SLC39A5"
"ENST00000419825","LDAH"
"ENST00000419960","LINC02054"
"ENST00000420027","UBE2V1"
"ENST00000420054","CYB5RL"
"ENST00000420254","POU2F1"
"ENST00000420461","API5"
"ENST00000420542","PIK3R3"
"ENST00000420577","MAP3K13"
"ENST00000420588","SCAP"
"ENST00000420644","SOS1-IT1"
"ENST00000420732","MS4A6A"
"ENST00000421006","LINC02020"
"ENST00000421022","RNF215"
"ENST00000421028","CCDC173"
"ENST00000421101","LRRN3"
"ENST00000421116","RRP7BP"
"ENST00000421262","RFXANK"
"ENST00000421413","EYA4"
"ENST00000421434","SCRN1"
"ENST00000421722","PMS1"
"ENST00000421723","NCEH1"
"ENST00000421864","ZNF277"
"ENST00000421985","M1AP"
"ENST00000422045","MYADM"
"ENST00000422063","ICA1"
"ENST00000422146","AMN1"
"ENST00000422279","RAB34"
"ENST00000422290","DUS4L"
"ENST00000422358","RAP1B"
"ENST00000422507","DDX39BP1"
"ENST00000422727","OR2L1P"
"ENST00000423027","GNAL"
"ENST00000423169","RAD51"
"ENST00000423183","ACTG1P12"
"ENST00000423274","BRWD1-AS1"
"ENST00000423331","TBC1D5"
"ENST00000423503","MDFIC"
"ENST00000423798","BPHL"
"ENST00000423875","RSU1P2"
"ENST00000423899","GUSBP4"
"ENST00000424007","ARHGAP26"
"ENST00000424120","CC2D2A"
"ENST00000424158","SYBU"
"ENST00000424316","API5P1"
"ENST00000424319","NOX4"
"ENST00000424381","UBE2E1"
"ENST00000424518","HOTAIR"
"ENST00000424555","SEMA3A"
"ENST00000424558","ABI2"
"ENST00000424570","DMKN"
"ENST00000424572","RALGDS"
"ENST00000424606","YRDCP2"
"ENST00000424642","TMPOP1"
"ENST00000424651","VN1R42P"
"ENST00000424777","ADHFE1"
"ENST00000424894","PRDM1"
"ENST00000425049","SHANK2"
"ENST00000425574","CCPG1"
"ENST00000425595","HOTAIR"
"ENST00000425691","CASTOR1"
"ENST00000425696","RBBP7"
"ENST00000425799","SATB1-AS1"
"ENST00000426264","NR4A2"
"ENST00000426279","RRM2P3"
"ENST00000426296","SIGLEC11"
"ENST00000426453","DST-AS1"
"ENST00000426634","BET1-AS1"
"ENST00000426700","C6orf52"
"ENST00000426703","VN1R21P"
"ENST00000426909","SYNC"
"ENST00000426952","HNRNPCP9"
"ENST00000426968","HHAT"
"ENST00000427007","HDLBP"
"ENST00000427055","ANKRD36BP2"
"ENST00000427151","CD81-AS1"
"ENST00000427362","SCML1"
"ENST00000427397","ATIC"
"ENST00000427457","HECW2"
"ENST00000427472","OLA1"
"ENST00000427505","ZNF440"
"ENST00000427812","ELAPOR2"
"ENST00000428004","ABLIM2"
"ENST00000428174","CCHCR1"
"ENST00000428351","TSSK4"
"ENST00000428428","PPIHP1"
"ENST00000428444","TUBB7P"
"ENST00000428459","NDUFA13"
"ENST00000428460","CAD"
"ENST00000428768","KIF1A"
"ENST00000428808","BRD8"
"ENST00000428847","FBXO43"
"ENST00000428848","CDH13"
"ENST00000428875","ZCWPW2"
"ENST00000429031","PSRC1"
"ENST00000429078","CD302"
"ENST00000429149","IL34"
"ENST00000429174","DYSF"
"ENST00000429186","RELN"
"ENST00000429191","MYOM3-AS1"
"ENST00000429407","RPS6P11"
"ENST00000429529","HECW1"
"ENST00000429560","TMEM44"
"ENST00000429593","EFS"
"ENST00000429742","NDST2"
"ENST00000430013","CBS"
"ENST00000430154","RNF212B"
"ENST00000430340","LPP"
"ENST00000430397","CLCN2"
"ENST00000430432","JAZF1"
"ENST00000430463","FAM230B"
"ENST00000430489","PRKAG3"
"ENST00000430529","LINC01865"
"ENST00000430557","BTBD3"
"ENST00000430559","TNFSF13B"
"ENST00000430566","FAM136A"
"ENST00000430874","GART"
"ENST00000430885","ZNF485"
"ENST00000430982","PTCD1"
"ENST00000431065","WDPCP"
"ENST00000431089","CRCP"
"ENST00000431168","MYL3"
"ENST00000431248","NDUFB9P2"
"ENST00000431319","NOL10"
"ENST00000431429","HMGB1P27"
"ENST00000431520","IKZF2"
"ENST00000431553","PPIEL"
"ENST00000431739","SLC26A6"
"ENST00000431917","ATG16L1"
"ENST00000431934","TSNAXIP1"
"ENST00000432027","MDFI"
"ENST00000432056","PRAC2"
"ENST00000432098","ATP6V1B1"
"ENST00000432141","DSCR10"
"ENST00000432270","PIGT"
"ENST00000432340","NUP50"
"ENST00000432351","SLC30A3"
"ENST00000432360","LOC105372988"
"ENST00000432420","CATSPER2"
"ENST00000432435","TESMIN"
"ENST00000432591","AP2M1"
"ENST00000432604","PCBP1-AS1"
"ENST00000432700","APOL3"
"ENST00000432805","TEDC1"
"ENST00000433070","DLEU2"
"ENST00000433112","TMEM169"
"ENST00000433183","OSBP2"
"ENST00000433381","NPRL2"
"ENST00000433496","RFC4"
"ENST00000433626","PSG4"
"ENST00000433635","MIOS"
"ENST00000433685","HDAC7"
"ENST00000433751","PYCR3"
"ENST00000433882","BSN-DT"
"ENST00000433930","CAMK2B"
"ENST00000434054","CLCN2"
"ENST00000434071","LARGE1"
"ENST00000434088","AXDND1"
"ENST00000434185","SLC25A17"
"ENST00000434187","FGFR1"
"ENST00000434195","HLCS-IT1"
