"searchedTranscript","gene","EnsemblID","EntrezSummary","patient1_healthy","patient2_healthy","patient3_healthy","patient4_healthy","patient5_healthy","patient6_healthy","patient7_healthy","patient8_healthy","patient9_healthy","patient10_healthy","patient1_diseased","patient2_diseased","patient3_diseased","patient4_diseased","patient5_diseased","patient6_diseased","patient7_diseased","patient8_diseased","patient9_diseased","patient10_diseased","HealthyMean","DiseasedMean","FoldChange","DifferentialExpression"
"ENST00000299185","DEPDC4","ENSG00000166153","                                            DEPDC4 (DEP Domain Containing 4) is a Protein Coding gene.                                            Diseases associated with DEPDC4 include Myopia and Renal Cell Carcinoma, Papillary, 1.                                                                                                                                    An important paralog of this gene is DEPDC7.",0,0,0,0,0,0,0.43,0,0,0,0,0,0,0,0.02,0,0,0,0,0.17,0.05,0.02,0.39,-0.03
"ENST00000299185","DEPDC4","ENSG00000166153","                                            DEPDC4 (DEP Domain Containing 4) is a Protein Coding gene.                                            Diseases associated with DEPDC4 include Myopia and Renal Cell Carcinoma, Papillary, 1.                                                                                                                                    An important paralog of this gene is DEPDC7.",0,0,0,0,0,0,0.43,0,0,0,0,0,0,0,0.02,0,0,0,0,0.17,0.05,0.02,0.39,-0.03
"ENST00000311841","","ENSG00000256407","                                            ENSG00000256407  is a Protein Coding gene.                                                                                                                                                                                An important paralog of this gene is CYB5RL.",0,0.11,0,0,0,0,0.08,0.22,0.07,0,0,0.06,0.05,0.09,0,0,0.04,0,0,0,0.05,0.02,0.45,-0.03
"ENST00000322227","","ENSG00000177369","                                            ENSG00000177369  is an Uncategorized gene.                                                                                                                                                                                ",0,0,0,0.08,0,0.12,0.05,0.03,0,0,0,0,0,0,0.03,0,0,0.1,0,0,0.03,0.01,0.41,-0.02
"ENST00000329858","LPAR5","ENSG00000184574","This gene encodes a member of the rhodopsin class of G protein-coupled transmembrane receptors. This protein transmits extracellular signals from lysophosphatidic acid to cells through heterotrimeric G proteins and mediates numerous cellular processes. Many G protein receptors serve as targets for pharmaceutical drugs. Transcript variants of this gene have been described.[provided by RefSeq, Dec 2008]",0,0.1,0,0.05,0,0.15,0.25,0,0.09,0,0.07,0,0,0.05,0,0,0.19,0.03,0,0,0.07,0.03,0.48,-0.04
"ENST00000330168","","ENSG00000248751","                                            ENSG00000248751  is a Protein Coding gene.                                                                                                                                                                                An important paralog of this gene is TBC1D10A.",0.83,0.91,0.3,0.34,0.48,0,0.28,0.48,0.32,0.38,0.07,0,0.32,0.55,0.21,0.08,0.47,0,0.1,0.23,0.44,0.2,0.46,-0.24
"ENST00000330168","","ENSG00000248751","                                            ENSG00000248751  is a Protein Coding gene.                                                                                                                                                                                An important paralog of this gene is TBC1D10A.",0.83,0.91,0.3,0.34,0.48,0,0.28,0.48,0.32,0.38,0.07,0,0.32,0.55,0.21,0.08,0.47,0,0.1,0.23,0.44,0.2,0.46,-0.24
"ENST00000332981","PRKCH","ENSG00000027075","Protein kinase C (PKC) is a family of serine- and threonine-specific protein kinases that can be activated by calcium and the second messenger diacylglycerol. PKC family members phosphorylate a wide variety of protein targets and are known to be involved in diverse cellular signaling pathways. PKC family members also serve as major receptors for phorbol esters, a class of tumor promoters. Each member of the PKC family has a specific expression profile and is believed to play a distinct role in cells. The protein encoded by this gene is one of the PKC family members. It is a calcium-independent and phospholipids-dependent protein kinase. It is predominantly expressed in epithelial tissues and has been shown to reside specifically in the cell nucleus. This protein kinase can regulate keratinocyte differentiation by activating the MAP kinase MAPK13 (p38delta)-activated protein kinase cascade that targets CCAAT/enhancer-binding protein alpha (CEBPA). It is also found to mediate the transcription activation of the transglutaminase 1 (TGM1) gene. Mutations in this gene are associated with susceptibility to cerebral infarction. [provided by RefSeq, Sep 2015]",0,0.4,0.41,0.21,0.35,0.07,0.19,0.13,0.13,0,0.13,0.06,0,0.32,0,0.2,0,0.13,0.19,0,0.21,0.1,0.49,-0.11
"ENST00000345127","PRICKLE1","ENSG00000139174","This gene encodes a nuclear receptor that may be a negative regulator of the Wnt/beta-catenin signaling pathway. The encoded protein localizes to the nuclear membrane and has been implicated in the nuclear trafficking of the transcription repressors REST/NRSF and REST4. Mutations in this gene have been linked to progressive myoclonus epilepsy. Alternate splicing results in multiple transcript variants. A pseudogene of this gene is found on chromosome 3. [provided by RefSeq, Sep 2009]",2.66,5.89,1.84,6.29,3.82,4.28,1.68,3.48,3.75,4.61,0.48,2.9,0.65,2.43,2.05,3.2,2.31,1.66,1.19,0.87,3.75,1.77,0.47,-1.97
"ENST00000358855","NOL8","ENSG00000198000","NOL8 binds Ras-related GTP-binding proteins (see MIM 608267) and plays a role in cell growth (Sekiguchi et al., 2004 [PubMed 14660641]).[supplied by OMIM, Mar 2008]",0,0.05,0,0.39,0.72,0.13,0,0.7,0.07,0,0.31,0,0,0,0,0,0.25,0,0,0.35,0.23,0.09,0.4,-0.14
"ENST00000362680","","ENSG00000199550","                                            ENSG00000199550  is an RNA Gene, and is affiliated with the misc_RNA class.                                                                                                                                                                                ",0,1.06,0,4.92,3.12,3.23,0.88,1.03,0,0,0.96,0,0,0,0,5.44,0,0,0,0,1.58,0.64,0.4,-0.94
"ENST00000362885","","ENSG00000199755","                                            ENSG00000199755  is an RNA Gene, and is affiliated with the misc_RNA class.                                                                                                                                                                                ",0,1.1,0,0,0,0,0,1.08,0,0,0,1.01,0,0,0,0,0,0,0,0,0.24,0.1,0.41,-0.14
"ENST00000363020","","ENSG00000199890","                                            ENSG00000199890  is an RNA Gene, and is affiliated with the misc_RNA class.                                                                                                                                                                                ",0,0,0,10.88,0,1.11,2.61,0,2.43,0,0,0,0,0,1.8,0,0,0,3.05,4.14,1.89,0.9,0.48,-0.99
"ENST00000364268","","ENSG00000275930","                                            ENSG00000275930  is an RNA Gene, and is affiliated with the misc_RNA class.                                                                                                                                                                                ",2.08,1.26,0,1.08,4.54,1.92,1.48,4.31,0.64,0.48,1.53,1.6,1.09,0.93,3.27,0,0.49,0.6,0,0,1.92,0.95,0.49,-0.97
"ENST00000364281","","ENSG00000201151","                                            ENSG00000201151  is an RNA Gene, and is affiliated with the snoRNA class.                                                                                                                                                                                ",0,0,1.49,5.2,3.84,0,0,0,6.8,0,0,0,0,1.5,0,0,0,4.6,1.48,0,1.92,0.76,0.39,-1.17
"ENST00000364806","","ENSG00000201676","                                            ENSG00000201676  is an RNA Gene, and is affiliated with the misc_RNA class.                                                                                                                                                                                ",5.72,0,1.08,0,1.11,6.35,1.01,3.6,0,7.75,0,0,0,0,0,1.89,1.91,0,2.21,3.71,2.1,0.97,0.46,-1.13
"ENST00000364992","","ENSG00000276178","                                            ENSG00000276178  is an RNA Gene, and is affiliated with the misc_RNA class.                                                                                                                                                                                ",2.08,1.26,0,1.08,4.54,1.92,1.48,4.31,0.64,0.48,1.53,1.6,1.09,0.93,3.27,0,0.49,0.6,0,0,1.92,0.95,0.49,-0.97
"ENST00000365074","","ENSG00000201944","                                            ENSG00000201944  is an RNA Gene, and is affiliated with the snoRNA class.                                                                                                                                                                                ",0,0,0,0,0.96,0,2.33,0,0.91,0,0,0.82,0,0,0,0,0,0.89,0,0,0.47,0.17,0.37,-0.3
"ENST00000365385","","ENSG00000202255","                                            ENSG00000202255  is an RNA Gene, and is affiliated with the misc_RNA class.                                                                                                                                                                                ",6.56,2.08,0,0,0,0,0.87,1.06,0,0,0,0,0,0,0,0,0,0,4.99,0,1.17,0.5,0.42,-0.68
"ENST00000365644","","ENSG00000202514","                                            ENSG00000202514  is an RNA Gene, and is affiliated with the misc_RNA class.                                                                                                                                                                                ",0,3.38,0,0,0,1.18,2.76,0,0,0,0,0,0,0,2.75,0,0,1.15,0,0,0.81,0.39,0.48,-0.42
"ENST00000370548","","ENSG00000267561","                                            ENSG00000267561  is a Protein Coding gene.                                                                                                                                    Gene Ontology (GO) annotations related to this gene include sulfotransferase activity.                                            An important paralog of this gene is HS2ST1.",0,0,0,0,0,0,0,0,0.45,0,0,0.08,0.12,0,0,0,0,0,0,0,0.05,0.02,0.4,-0.03
"ENST00000370834","ACADM","ENSG00000117054","This gene encodes the medium-chain specific (C4 to C12 straight chain) acyl-Coenzyme A dehydrogenase. The homotetramer enzyme catalyzes the initial step of the mitochondrial fatty acid beta-oxidation pathway. Defects in this gene cause medium-chain acyl-CoA dehydrogenase deficiency, a disease characterized by hepatic dysfunction, fasting hypoglycemia, and encephalopathy, which can result in infantile death. Alternatively spliced transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Jul 2008]",0,0,1.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.29,0.17,0.08,0.46,-0.09
"ENST00000371799","OLFM1","ENSG00000130558","This gene product shares extensive sequence similarity with the rat neuronal olfactomedin-related ER localized protein. While the exact function of the encoded protein is not known, its abundant expression in brain suggests that it may have an essential role in nerve tissue. Several alternatively spliced transcripts encoding different isoforms have been found for this gene. [provided by RefSeq, Jul 2008]",0.08,0,0.1,0.62,0,0,0.18,0.08,0.1,0,0.18,0,0.08,0,0,0,0,0,0.09,0.21,0.13,0.06,0.43,-0.07
"ENST00000371799","OLFM1","ENSG00000130558","This gene product shares extensive sequence similarity with the rat neuronal olfactomedin-related ER localized protein. While the exact function of the encoded protein is not known, its abundant expression in brain suggests that it may have an essential role in nerve tissue. Several alternatively spliced transcripts encoding different isoforms have been found for this gene. [provided by RefSeq, Jul 2008]",0.08,0,0.1,0.62,0,0,0.18,0.08,0.1,0,0.18,0,0.08,0,0,0,0,0,0.09,0.21,0.13,0.06,0.43,-0.07
"ENST00000380259","","ENSG00000239920","                                            ENSG00000239920  is a Protein Coding gene.                                                                                                                                                                                An important paralog of this gene is TRIM5.",0,0,0,0,0.12,0,0.14,0.14,0,0,0,0,0,0,0,0,0.07,0,0.11,0,0.05,0.02,0.4,-0.03
"ENST00000381106","","ENSG00000285756","                                            ENSG00000285756  is an Uncategorized gene.                                                                                                                                                                                ",1.2,1.14,0.36,2.73,0.08,0,2.32,0,0.09,2.19,1.1,0.34,0.17,0.4,0,0,1.02,0.11,0.12,0.76,0.88,0.4,0.46,-0.48
"ENST00000381106","","ENSG00000285756","                                            ENSG00000285756  is an Uncategorized gene.                                                                                                                                                                                ",1.2,1.14,0.36,2.73,0.08,0,2.32,0,0.09,2.19,1.1,0.34,0.17,0.4,0,0,1.02,0.11,0.12,0.76,0.88,0.4,0.46,-0.48
"ENST00000382179","BRSK2","ENSG00000174672","                                            BRSK2 (BR Serine/Threonine Kinase 2) is a Protein Coding gene.                                            Diseases associated with BRSK2 include Autosomal Dominant Non-Syndromic Intellectual Disability and Paraneoplastic Limbic Encephalitis.                                            Among its related pathways are Neuroscience and Sweet Taste Signaling.                                            Gene Ontology (GO) annotations related to this gene include transferase activity, transferring phosphorus-containing groups and protein tyrosine kinase activity.                                            An important paralog of this gene is BRSK1.",0.01,0,0,0,0,0,0,0.07,0,0,0,0,0.02,0,0,0,0,0,0,0.02,0.01,0,0.37,-0.01
"ENST00000383965","","ENSG00000206692","                                            ENSG00000206692  is an RNA Gene, and is affiliated with the misc_RNA class.                                                                                                                                                                                ",0,2.13,0,0,0.96,1.01,0,0,4.24,0,0,0,0.98,0,0,1.71,0,1.04,0,0,0.93,0.37,0.4,-0.55
"ENST00000384198","","ENSG00000206925","                                            ENSG00000206925  is an RNA Gene, and is affiliated with the misc_RNA class.                                                                                                                                                                                ",0,0,0,0,2.08,0,0,0,0,0,0,0,0.95,0,0,0,0,0,0,0,0.23,0.1,0.41,-0.14
"ENST00000389602","MYRF","ENSG00000124920","This gene encodes a transcription factor that is required for central nervous system myelination and may regulate oligodendrocyte differentiation. It is thought to act by increasing the expression of genes that effect myelin production but may also directly promote myelin gene expression. Loss of a similar gene in mouse models results in severe demyelination. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Nov 2014]",0,0.07,0,0.02,0.16,0.07,0.03,0,0.15,0,0.18,0,0,0.03,0,0,0.03,0,0,0,0.06,0.02,0.42,-0.03
"ENST00000389707","ARNTL","ENSG00000133794","The protein encoded by this gene is a basic helix-loop-helix protein that forms a heterodimer with CLOCK. This heterodimer binds E-box enhancer elements upstream of Period (PER1, PER2, PER3) and Cryptochrome (CRY1, CRY2) genes and activates transcription of these genes. PER and CRY proteins heterodimerize and repress their own transcription by interacting in a feedback loop with CLOCK/ARNTL complexes. Defects in this gene have been linked to infertility, problems with gluconeogenesis and lipogenesis, and altered sleep patterns. Several transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Jul 2014]",0,1.19,2.09,1.79,0.02,0.39,0.62,1.25,0.45,0.49,0,0.85,0.31,0,0.61,0.91,0.77,0,0.04,0,0.87,0.35,0.4,-0.52
"ENST00000394808","","ENSG00000218713","                                            ENSG00000218713  is a Pseudogene.                                                                                                                                                                                ",0.11,0.06,0,0,0,0,0.08,0,0.03,0,0,0,0.03,0.03,0,0,0.06,0,0.03,0,0.03,0.01,0.47,-0.02
"ENST00000396110","","ENSG00000213754","                                            ENSG00000213754  is a Pseudogene.                                                                                                                                                                                ",0,0.11,0.05,0,0.06,0.06,0,0.11,0.16,0,0,0,0.05,0.05,0,0.12,0,0,0,0,0.06,0.02,0.37,-0.04
"ENST00000397037","","ENSG00000213959","                                            ENSG00000213959  is a Pseudogene.                                                                                                                                                                                ",0.19,0,0,0,0,0.2,0,0,0,0,0,0,0,0.19,0,0,0,0,0,0,0.04,0.02,0.44,-0.02
"ENST00000397230","RAD52","ENSG00000002016","The protein encoded by this gene shares similarity with Saccharomyces cerevisiae Rad52, a protein important for DNA double-strand break repair and homologous recombination. This gene product was shown to bind single-stranded DNA ends, and mediate the DNA-DNA interaction necessary for the annealing of complementary DNA strands. It was also found to interact with DNA recombination protein RAD51, which suggested its role in RAD51 related DNA recombination and repair. A pseudogene of this gene is present on chromosome 2. Alternative splicing results in multiple transcript variants. Additional alternatively spliced transcript variants of this gene have been described, but their full-length nature is not known. [provided by RefSeq, Jul 2014]",0,0,0,0,1.99,0,0.22,1.25,1.52,0,0.53,0.28,0,1.64,0,0,0,0,0,0,0.55,0.25,0.44,-0.31
"ENST00000404707","","ENSG00000217612","                                            ENSG00000217612  is a Pseudogene.                                                                                                                                                                                ",0.04,0,0,0,0,0.04,0,0,0,0.04,0.04,0,0,0,0,0,0,0,0,0,0.01,0,0.44,0
"ENST00000406807","","ENSG00000219553","                                            ENSG00000219553  is a Pseudogene.                                                                                                                                                                                ",0,0,0.14,0,0,0.15,0,0.29,0,0,0.14,0.15,0,0,0,0,0,0,0,0,0.06,0.03,0.45,-0.04
"ENST00000408826","","ENSG00000221753","                                            ENSG00000221753  is an RNA Gene, and is affiliated with the miRNA class.                                                                                                                                                                                ",0.92,2.74,0,0,0,0,1.02,2.56,0,0,0,1.18,0,0,0,1.02,0,0,0,0.97,0.8,0.32,0.39,-0.49
"ENST00000409439","","ENSG00000282907","                                            ENSG00000282907  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",0.2,0,0.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12,0.16,0,0,0.07,0.03,0.41,-0.04
"ENST00000409492","DLX1","ENSG00000144355","This gene encodes a member of a homeobox transcription factor gene family similiar to the Drosophila distal-less gene. The encoded protein is localized to the nucleus where it may function as a transcriptional regulator of signals from multiple TGF-{beta} superfamily members. The encoded protein may play a role in the control of craniofacial patterning and the differentiation and survival of inhibitory neurons in the forebrain. This gene is located in a tail-to-tail configuration with another member of the family on the long arm of chromosome 2. Alternatively spliced transcript variants encoding different isoforms have been described. [provided by RefSeq, Jul 2008]",0,0,0.08,0.76,0,0.13,0,0.14,0,0,0.1,0,0,0,0,0,0,0,0,0.41,0.12,0.05,0.41,-0.07
"ENST00000411669","","ENSG00000231464","                                            ENSG00000231464  is a Pseudogene.                                                                                                                                                                                ",0,0,0.12,0,0,0,0.07,0.08,0,0,0.06,0,0.07,0,0,0,0,0,0,0,0.03,0.01,0.45,-0.02
"ENST00000411727","","ENSG00000223930","                                            ENSG00000223930  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",0.22,0.09,0.09,0.19,0.16,0.12,0.06,0,0.12,0,0.17,0.07,0,0.08,0,0.06,0.06,0,0,0.12,0.11,0.06,0.49,-0.06
"ENST00000412065","","ENSG00000279317","                                            ENSG00000279317  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",0,0,0,0,0,0.52,0,0,0,0,0,0,0.24,0,0,0,0,0,0,0,0.06,0.02,0.42,-0.03
"ENST00000412241","","ENSG00000230010","                                            ENSG00000230010  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",0,0,1.16,3.64,0,0,0,0.29,0,0,0.22,0,0.69,0,0,0,0,1.39,0,0.41,0.56,0.27,0.48,-0.29
"ENST00000412669","","ENSG00000223969","                                            ENSG00000223969  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",0.53,1.54,2.44,0,0,0.72,2.25,2.6,2.03,0,0,0.35,0,0,0.32,3.05,1.42,0.39,0.37,0.57,1.34,0.65,0.48,-0.7
"ENST00000412769","","ENSG00000235105","                                            ENSG00000235105  is a Pseudogene.                                            Diseases associated with ENSG00000235105 include Amyotrophic Lateral Sclerosis 2, Juvenile.                                                                                                                                    ",0.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0.01,0.01,0.47,-0.01
"ENST00000412777","LRTOMT","ENSG00000184154","This gene has evolved in primates as a fusion of two ancestral neighboring genes, Lrrc51 and Tomt, which exist as two independent genes in rodents. The fusion gene contains some shared exons, but encodes structurally unrelated proteins, LRTOMT1 and LRTOMT2. Those variants that utilize the more centromere-proximal 3' terminal exon (short transcript form) encode LRTOMT1, while those variants that use a more centromere-distal 3' terminal exon (long transcript form) encode the LRTOMT2 protein. There is a small region within one of the exons of this gene that contains overlapping alternate reading frames for both LRTOMT1 and LRTOMT2. LRTOMT1 shares similarity with the protein encoded by mouse Lrrc51, while LRTOMT2 shares similarity with the protein encoded by mouse Tomt. Alternative splicing results in multiple transcript variants, encoding different isoforms of both LRTOMT1 and LRTOMT2. The LRTOMT1 protein is a leucine-rich repeat-containing protein, while the LRTOMT2 protein is a catechol-O-methyltransferase that catalyzes the transfer of a methyl group from S-adenosyl-L-methionine to a hydroxyl group of catechols and is essential for auditory and vestibular function. Mutations in this gene have been associated with nonsyndromic deafness. [provided by RefSeq, Nov 2017]",1.12,0,0,1.69,1.27,0,0,1.32,0,0,0,0,0.94,1.11,0,0,0,0,0,0.36,0.6,0.24,0.4,-0.36
"ENST00000412951","","ENSG00000230695","                                            ENSG00000230695  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",1.21,0.99,2.2,0,3.76,0.84,0,2.03,2.78,1.2,0,0,0,0.82,2.4,1.44,0,0,0.86,1.35,1.53,0.69,0.45,-0.85
"ENST00000413004","","ENSG00000225750","                                            ENSG00000225750  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",1.08,2.45,1.11,0,0,0,0,0,0,0,0,2.25,0,0,0,0,0,0,0,0,0.51,0.23,0.44,-0.29
"ENST00000413240","","ENSG00000226661","                                            ENSG00000226661  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",1.3,0.5,0.37,1.52,1.36,0.48,1.17,0,0,0.45,0.15,0.62,0.45,0.75,0.34,0,0,0,0.63,0.4,0.74,0.34,0.45,-0.41
"ENST00000413848","","ENSG00000183308","                                            ENSG00000183308  is an RNA Gene, and is affiliated with the lncRNA class.                                            Diseases associated with ENSG00000183308 include Astrocytoma.                                                                                                                                    ",0.54,0.62,0.67,1.56,0,0,0.06,1.19,0,0,0,0,0.27,0,0,0,1.72,0,0,0,0.52,0.2,0.39,-0.32
"ENST00000414888","","ENSG00000225406","                                            ENSG00000225406  is a Pseudogene.                                                                                                                                                                                ",0.13,0,0,0,0,0.16,0,0,0,0,0,0,0,0.15,0,0,0,0,0,0,0.03,0.01,0.47,-0.02
"ENST00000415536","","ENSG00000236453","                                            ENSG00000236453  is an RNA Gene, and is affiliated with the lncRNA class.                                                                                                                                                                                ",0.57,1.48,1.64,0,2.67,0,4.4,0.77,0.34,0.9,0.3,0,0.3,1.19,0.29,0,0.31,0.99,0.63,0.99,1.32,0.5,0.38,-0.82
"ENST00000415824","","ENSG00000205622","                                            ENSG00000205622  is an Uncategorized gene.                                                                                                                                                                                ",0,0,0,0,0,0,0.43,1.51,0,0,0,0,0,0,0,0,0,1.02,0,0,0.22,0.1,0.47,-0.11
"ENST00000416300","","ENSG00000227257","                                            ENSG00000227257  is a Pseudogene.                                                                                                                                                                                ",0,0,0.73,0,0,1.64,0,0,0,0,0.5,0,0.51,0,0,0,0,0,0,0,0.26,0.1,0.38,-0.16
